pan_transcriptome_size	genes_pan	hard_core_transcriptome_size	genes_hard_core	soft_core_transcriptome_size	genes_soft_core	accessory_transcriptome_size	genes_accessory	exclusive_transcriptome_size	genes_exclusive	number_genotypes	n_sample
266327	1246935	16228	315067	0	0	250099	931868	123447	0	6	0
269241	1139913	523	9412	0	0	268718	1130501	120533	0	6	1
266912	1123092	141	2867	0	0	266771	1120225	122862	0	6	2
174579	807459	12668	264228	0	0	161911	543231	215195	0	6	3
163686	888609	12813	299039	0	0	150873	589570	226088	0	6	4
278492	1208664	220	4168	0	0	278272	1204496	111282	0	6	5
298021	1534530	516	10924	0	0	297505	1523606	91753	0	6	6
266394	1141267	193	4309	0	0	266201	1136958	123380	0	6	7
296741	1824944	147	4666	0	0	296594	1820278	93033	0	6	8
279918	1277526	192	4444	0	0	279726	1273082	109856	0	6	9
304006	1847830	474	9956	0	0	303532	1837874	85768	0	6	10
274461	1413271	2392	41890	0	0	272069	1371381	115313	0	6	11
180901	796912	11866	234319	0	0	169035	562593	208873	0	6	12
261337	1104947	183	3460	0	0	261154	1101487	128437	0	6	13
266258	1243195	12370	280106	0	0	253888	963089	123516	0	6	14
285200	1548140	156	4304	0	0	285044	1543836	104574	0	6	15
261008	1154896	2288	39994	0	0	258720	1114902	128766	0	6	16
275328	1207728	571	10951	0	0	274757	1196777	114446	0	6	17
268550	1159108	656	11611	0	0	267894	1147497	121224	0	6	18
275328	1139150	564	9873	0	0	274764	1129277	114446	0	6	19
280834	1427775	13915	347210	0	0	266919	1080565	108940	0	7	0
280758	1321644	526	11941	0	0	280232	1309703	109016	0	7	1
186512	823428	127	2765	0	0	186385	820663	203262	0	7	2
159473	933631	13772	349291	0	0	145701	584340	230301	0	7	3
187519	822291	168	3217	0	0	187351	819074	202255	0	7	4
277109	1350914	10750	281612	0	0	266359	1069302	112665	0	7	5
149480	821438	11733	282461	0	0	137747	538977	240294	0	7	6
260861	1250155	1927	42072	0	0	258934	1208083	128913	0	7	7
271638	1196301	567	11536	0	0	271071	1184765	118136	0	7	8
307111	1668570	86	2648	0	0	307025	1665922	82663	0	7	9
259827	1155399	155	3529	0	0	259672	1151870	129947	0	7	10
190106	1003040	14509	339401	0	0	175597	663639	199668	0	7	11
238964	1086033	2251	43898	0	0	236713	1042135	150810	0	7	12
277202	1389480	11836	311880	0	0	265366	1077600	112572	0	7	13
316100	1799349	587	14658	0	0	315513	1784691	73674	0	7	14
179445	998967	11490	304841	0	0	167955	694126	210329	0	7	15
287215	1493535	1060	24701	0	0	286155	1468834	102559	0	7	16
259729	1117369	337	5892	0	0	259392	1111477	130045	0	7	17
305704	1610233	446	10273	0	0	305258	1599960	84070	0	7	18
261964	1180499	1297	27108	0	0	260667	1153391	127810	0	7	19
307784	1785117	1877	45743	0	0	305907	1739374	81990	0	8	0
295822	1372652	87	2462	0	0	295735	1370190	93952	0	8	1
310164	1672225	312	8165	0	0	309852	1664060	79610	0	8	2
290072	1405227	541	13121	0	0	289531	1392106	99702	0	8	3
268622	1376485	1948	45005	0	0	266674	1331480	121152	0	8	4
295700	1464034	149	4497	0	0	295551	1459537	94074	0	8	5
286931	1446757	10002	287717	0	0	276929	1159040	102843	0	8	6
273692	1212793	67	1803	0	0	273625	1210990	116082	0	8	7
315014	1832766	1672	42811	0	0	313342	1789955	74760	0	8	8
282531	1462805	600	15948	0	0	281931	1446857	107243	0	8	9
262004	1240822	1617	35593	0	0	260387	1205229	127770	0	8	10
293799	1428223	115	3226	0	0	293684	1424997	95975	0	8	11
311555	1737444	485	12298	0	0	311070	1725146	78219	0	8	12
284514	1473081	10136	296762	0	0	274378	1176319	105260	0	8	13
285611	1507720	12685	350777	0	0	272926	1156943	104163	0	8	14
