Orthogroups	Group	number_genotypes
304084	Exclusive	1
256817	Exclusive	1
347767	Exclusive	1
333531	Exclusive	1
328124	Exclusive	1
347767	Exclusive	1
325618	Exclusive	1
331975	Exclusive	1
336113	Exclusive	1
324488	Exclusive	1
325217	Exclusive	1
338596	Exclusive	1
335244	Exclusive	1
338596	Exclusive	1
256817	Exclusive	1
324488	Exclusive	1
295956	Exclusive	2
172367	Exclusive	2
275159	Exclusive	2
309435	Exclusive	2
295061	Exclusive	2
310029	Exclusive	2
303795	Exclusive	2
313304	Exclusive	2
214497	Exclusive	2
217437	Exclusive	2
318080	Exclusive	2
314203	Exclusive	2
271405	Exclusive	2
275377	Exclusive	2
306001	Exclusive	2
283732	Exclusive	2
197086	Exclusive	2
180934	Exclusive	2
186208	Exclusive	2
310399	Exclusive	2
264126	Exclusive	3
272537	Exclusive	3
271451	Exclusive	3
283939	Exclusive	3
269475	Exclusive	3
279842	Exclusive	3
283665	Exclusive	3
291644	Exclusive	3
167197	Exclusive	3
294237	Exclusive	3
185018	Exclusive	3
167626	Exclusive	3
282581	Exclusive	3
287734	Exclusive	3
247482	Exclusive	3
255867	Exclusive	3
280080	Exclusive	3
287997	Exclusive	3
278704	Exclusive	3
262903	Exclusive	3
244863	Exclusive	4
121529	Exclusive	4
256882	Exclusive	4
148871	Exclusive	4
235384	Exclusive	4
232206	Exclusive	4
235053	Exclusive	4
265269	Exclusive	4
235844	Exclusive	4
253343	Exclusive	4
164905	Exclusive	4
123103	Exclusive	4
160874	Exclusive	4
137314	Exclusive	4
240500	Exclusive	4
148854	Exclusive	4
273251	Exclusive	4
263490	Exclusive	4
112314	Exclusive	4
264232	Exclusive	4
142818	Exclusive	5
160186	Exclusive	5
140572	Exclusive	5
216376	Exclusive	5
242099	Exclusive	5
160186	Exclusive	5
251524	Exclusive	5
155615	Exclusive	5
160209	Exclusive	5
109608	Exclusive	5
242342	Exclusive	5
123151	Exclusive	5
116023	Exclusive	5
155202	Exclusive	5
125219	Exclusive	5
127717	Exclusive	5
255996	Exclusive	5
239679	Exclusive	5
207934	Exclusive	5
245529	Exclusive	5
123447	Exclusive	6
120533	Exclusive	6
122862	Exclusive	6
215195	Exclusive	6
226088	Exclusive	6
111282	Exclusive	6
91753	Exclusive	6
123380	Exclusive	6
93033	Exclusive	6
109856	Exclusive	6
85768	Exclusive	6
115313	Exclusive	6
208873	Exclusive	6
128437	Exclusive	6
123516	Exclusive	6
104574	Exclusive	6
128766	Exclusive	6
114446	Exclusive	6
121224	Exclusive	6
114446	Exclusive	6
108940	Exclusive	7
109016	Exclusive	7
203262	Exclusive	7
230301	Exclusive	7
202255	Exclusive	7
112665	Exclusive	7
240294	Exclusive	7
128913	Exclusive	7
118136	Exclusive	7
82663	Exclusive	7
129947	Exclusive	7
199668	Exclusive	7
150810	Exclusive	7
112572	Exclusive	7
73674	Exclusive	7
210329	Exclusive	7
102559	Exclusive	7
130045	Exclusive	7
84070	Exclusive	7
127810	Exclusive	7
81990	Exclusive	8
93952	Exclusive	8
79610	Exclusive	8
99702	Exclusive	8
121152	Exclusive	8
94074	Exclusive	8
102843	Exclusive	8
116082	Exclusive	8
74760	Exclusive	8
107243	Exclusive	8
127770	Exclusive	8
95975	Exclusive	8
78219	Exclusive	8
105260	Exclusive	8
104163	Exclusive	8
92344	Exclusive	8
112878	Exclusive	8
76137	Exclusive	8
96414	Exclusive	8
69898	Exclusive	8
53983	Exclusive	9
85679	Exclusive	9
163662	Exclusive	9
53979	Exclusive	9
61500	Exclusive	9
100416	Exclusive	9
76445	Exclusive	9
110544	Exclusive	9
99004	Exclusive	9
197285	Exclusive	9
62830	Exclusive	9
112115	Exclusive	9
53214	Exclusive	9
55021	Exclusive	9
83972	Exclusive	9
82261	Exclusive	9
71244	Exclusive	9
89552	Exclusive	9
180705	Exclusive	9
118586	Exclusive	9
159249	Exclusive	10
78059	Exclusive	10
101296	Exclusive	10
50540	Exclusive	10
101815	Exclusive	10
47543	Exclusive	10
57941	Exclusive	10
54430	Exclusive	10
48175	Exclusive	10
107676	Exclusive	10
57867	Exclusive	10
55368	Exclusive	10
53643	Exclusive	10
45748	Exclusive	10
76134	Exclusive	10
57876	Exclusive	10
61647	Exclusive	10
57833	Exclusive	10
83710	Exclusive	10
60191	Exclusive	10
75333	Exclusive	11
39835	Exclusive	11
59865	Exclusive	11
90244	Exclusive	11
83878	Exclusive	11
60648	Exclusive	11
77977	Exclusive	11
96401	Exclusive	11
70213	Exclusive	11
57885	Exclusive	11
48997	Exclusive	11
36987	Exclusive	11
72843	Exclusive	11
52313	Exclusive	11
38007	Exclusive	11
148802	Exclusive	11
67268	Exclusive	11
68423	Exclusive	11
54897	Exclusive	11
88205	Exclusive	11
41159	Exclusive	12
43509	Exclusive	12
42142	Exclusive	12
158687	Exclusive	12
66463	Exclusive	12
95203	Exclusive	12
61745	Exclusive	12
40049	Exclusive	12
59292	Exclusive	12
61939	Exclusive	12
63988	Exclusive	12
59156	Exclusive	12
41842	Exclusive	12
42314	Exclusive	12
162402	Exclusive	12
35336	Exclusive	12
67590	Exclusive	12
36434	Exclusive	12
36338	Exclusive	12
69402	Exclusive	12
15760	Exclusive	13
39368	Exclusive	13
44519	Exclusive	13
75196	Exclusive	13
59970	Exclusive	13
36148	Exclusive	13
61606	Exclusive	13
42769	Exclusive	13
37845	Exclusive	13
27269	Exclusive	13
37751	Exclusive	13
42233	Exclusive	13
80639	Exclusive	13
157852	Exclusive	13
37211	Exclusive	13
29733	Exclusive	13
34950	Exclusive	13
21930	Exclusive	13
29353	Exclusive	13
70789	Exclusive	13
18460	Exclusive	14
68190	Exclusive	14
21351	Exclusive	14
19469	Exclusive	14
70062	Exclusive	14
22024	Exclusive	14
31079	Exclusive	14
32525	Exclusive	14
55626	Exclusive	14
37154	Exclusive	14
43963	Exclusive	14
30975	Exclusive	14
77017	Exclusive	14
25375	Exclusive	14
39118	Exclusive	14
35323	Exclusive	14
28936	Exclusive	14
28543	Exclusive	14
39934	Exclusive	14
34792	Exclusive	14
28016	Exclusive	15
20916	Exclusive	15
14067	Exclusive	15
29544	Exclusive	15
30609	Exclusive	15
13308	Exclusive	15
36842	Exclusive	15
14177	Exclusive	15
32517	Exclusive	15
12933	Exclusive	15
29986	Exclusive	15
10543	Exclusive	15
25609	Exclusive	15
14937	Exclusive	15
29171	Exclusive	15
24757	Exclusive	15
39597	Exclusive	15
35352	Exclusive	15
48271	Exclusive	15
11006	Exclusive	15
42459	Exclusive	16
18754	Exclusive	16
22342	Exclusive	16
16764	Exclusive	16
24197	Exclusive	16
14029	Exclusive	16
15602	Exclusive	16
33691	Exclusive	16
20968	Exclusive	16
16523	Exclusive	16
20208	Exclusive	16
15417	Exclusive	16
12472	Exclusive	16
13177	Exclusive	16
48001	Exclusive	16
14736	Exclusive	16
16105	Exclusive	16
19481	Exclusive	16
24206	Exclusive	16
19473	Exclusive	16
29844	Exclusive	17
34045	Exclusive	17
6166	Exclusive	17
8554	Exclusive	17
25363	Exclusive	17
13135	Exclusive	17
21402	Exclusive	17
7434	Exclusive	17
8627	Exclusive	17
10994	Exclusive	17
28090	Exclusive	17
6693	Exclusive	17
13378	Exclusive	17
7281	Exclusive	17
17976	Exclusive	17
16493	Exclusive	17
33238	Exclusive	17
5325	Exclusive	17
15277	Exclusive	17
27330	Exclusive	17
4491	Exclusive	18
5901	Exclusive	18
3774	Exclusive	18
19745	Exclusive	18
2640	Exclusive	18
23067	Exclusive	18
11174	Exclusive	18
4709	Exclusive	18
6856	Exclusive	18
3774	Exclusive	18
7385	Exclusive	18
8527	Exclusive	18
10339	Exclusive	18
7380	Exclusive	18
2391	Exclusive	18
7605	Exclusive	18
21705	Exclusive	18
8534	Exclusive	18
14253	Exclusive	18
4449	Exclusive	18
3388	Exclusive	19
2114	Exclusive	19
1829	Exclusive	19
2410	Exclusive	19
811	Exclusive	19
10333	Exclusive	19
860	Exclusive	19
2410	Exclusive	19
1430	Exclusive	19
18562	Exclusive	19
1829	Exclusive	19
4459	Exclusive	19
2114	Exclusive	19
10333	Exclusive	19
1430	Exclusive	19
2719	Exclusive	19
2114	Exclusive	19
3709	Exclusive	19
3388	Exclusive	19
811	Exclusive	19
