Orthogroups	Group	number_genotypes
19791	Hardcore	3
3608	Hardcore	3
20472	Hardcore	3
4778	Hardcore	3
1818	Hardcore	3
18274	Hardcore	3
17493	Hardcore	3
717	Hardcore	3
1317	Hardcore	3
16444	Hardcore	3
23238	Hardcore	3
20646	Hardcore	3
14896	Hardcore	3
239	Hardcore	4
3087	Hardcore	4
14287	Hardcore	4
17429	Hardcore	4
193	Hardcore	4
628	Hardcore	4
19719	Hardcore	4
16637	Hardcore	4
201	Hardcore	4
18297	Hardcore	4
2653	Hardcore	4
930	Hardcore	4
1910	Hardcore	4
1867	Hardcore	4
14083	Hardcore	4
1450	Hardcore	4
17118	Hardcore	4
16755	Hardcore	4
1455	Hardcore	4
13670	Hardcore	4
331	Hardcore	5
2009	Hardcore	5
298	Hardcore	5
176	Hardcore	5
16617	Hardcore	5
2009	Hardcore	5
14594	Hardcore	5
1788	Hardcore	5
1753	Hardcore	5
2884	Hardcore	5
16996	Hardcore	5
1083	Hardcore	5
2747	Hardcore	5
2339	Hardcore	5
16512	Hardcore	5
226	Hardcore	5
15912	Hardcore	5
14306	Hardcore	5
173	Hardcore	5
16142	Hardcore	5
16228	Hardcore	6
523	Hardcore	6
141	Hardcore	6
12668	Hardcore	6
12813	Hardcore	6
220	Hardcore	6
516	Hardcore	6
193	Hardcore	6
147	Hardcore	6
192	Hardcore	6
474	Hardcore	6
2392	Hardcore	6
11866	Hardcore	6
183	Hardcore	6
12370	Hardcore	6
156	Hardcore	6
2288	Hardcore	6
571	Hardcore	6
656	Hardcore	6
564	Hardcore	6
13915	Hardcore	7
526	Hardcore	7
127	Hardcore	7
13772	Hardcore	7
168	Hardcore	7
10750	Hardcore	7
11733	Hardcore	7
1927	Hardcore	7
567	Hardcore	7
86	Hardcore	7
155	Hardcore	7
14509	Hardcore	7
2251	Hardcore	7
11836	Hardcore	7
587	Hardcore	7
11490	Hardcore	7
1060	Hardcore	7
337	Hardcore	7
446	Hardcore	7
1297	Hardcore	7
1877	Hardcore	8
87	Hardcore	8
312	Hardcore	8
541	Hardcore	8
1948	Hardcore	8
149	Hardcore	8
10002	Hardcore	8
67	Hardcore	8
1672	Hardcore	8
600	Hardcore	8
1617	Hardcore	8
115	Hardcore	8
485	Hardcore	8
10136	Hardcore	8
12685	Hardcore	8
131	Hardcore	8
1393	Hardcore	8
138	Hardcore	8
612	Hardcore	8
152	Hardcore	8
418	Hardcore	9
102	Hardcore	9
103	Hardcore	9
453	Hardcore	9
107	Hardcore	9
1272	Hardcore	9
1726	Hardcore	9
1247	Hardcore	9
79	Hardcore	9
10221	Hardcore	9
1784	Hardcore	9
1272	Hardcore	9
103	Hardcore	9
357	Hardcore	9
82	Hardcore	9
628	Hardcore	9
71	Hardcore	9
10321	Hardcore	9
139	Hardcore	9
1746	Hardcore	9
79	Hardcore	10
84	Hardcore	10
89	Hardcore	10
97	Hardcore	10
57	Hardcore	10
559	Hardcore	10
605	Hardcore	10
554	Hardcore	10
123	Hardcore	10
1236	Hardcore	10
524	Hardcore	10
71	Hardcore	10
101	Hardcore	10
58	Hardcore	10
112	Hardcore	10
593	Hardcore	10
81	Hardcore	10
86	Hardcore	10
76	Hardcore	10
258	Hardcore	10
62	Hardcore	11
251	Hardcore	11
363	Hardcore	11
494	Hardcore	11
607	Hardcore	11
95	Hardcore	11
65	Hardcore	11
1545	Hardcore	11
57	Hardcore	11
390	Hardcore	11
55	Hardcore	11
126	Hardcore	11
101	Hardcore	11
603	Hardcore	11
99	Hardcore	11
79	Hardcore	11
66	Hardcore	11
88	Hardcore	11
1274	Hardcore	11
72	Hardcore	11
478	Hardcore	12
62	Hardcore	12
335	Hardcore	12
55	Hardcore	12
82	Hardcore	12
1220	Hardcore	12
64	Hardcore	12
54	Hardcore	12
58	Hardcore	12
83	Hardcore	12
75	Hardcore	12
352	Hardcore	12
224	Hardcore	12
76	Hardcore	12
9209	Hardcore	12
321	Hardcore	12
122	Hardcore	12
70	Hardcore	12
77	Hardcore	12
91	Hardcore	12
49	Hardcore	13
453	Hardcore	13
55	Hardcore	13
52	Hardcore	13
62	Hardcore	13
416	Hardcore	13
60	Hardcore	13
58	Hardcore	13
216	Hardcore	13
50	Hardcore	13
59	Hardcore	13
214	Hardcore	13
71	Hardcore	13
9546	Hardcore	13
58	Hardcore	13
64	Hardcore	13
67	Hardcore	13
54	Hardcore	13
47	Hardcore	13
431	Hardcore	13
61	Hardcore	14
47	Hardcore	14
57	Hardcore	14
53	Hardcore	14
52	Hardcore	14
64	Hardcore	14
40	Hardcore	14
296	Hardcore	14
65	Hardcore	14
53	Hardcore	14
1126	Hardcore	14
52	Hardcore	14
1106	Hardcore	14
54	Hardcore	14
67	Hardcore	14
35	Hardcore	14
224	Hardcore	14
37	Hardcore	14
51	Hardcore	14
47	Hardcore	14
44	Hardcore	15
237	Hardcore	15
46	Hardcore	15
35	Hardcore	15
37	Hardcore	15
45	Hardcore	15
1156	Hardcore	15
219	Hardcore	15
369	Hardcore	15
44	Hardcore	15
47	Hardcore	15
44	Hardcore	15
51	Hardcore	15
41	Hardcore	15
40	Hardcore	15
34	Hardcore	15
50	Hardcore	15
56	Hardcore	15
45	Hardcore	15
38	Hardcore	15
43	Hardcore	16
41	Hardcore	16
41	Hardcore	16
40	Hardcore	16
40	Hardcore	16
55	Hardcore	16
38	Hardcore	16
238	Hardcore	16
35	Hardcore	16
53	Hardcore	16
44	Hardcore	16
36	Hardcore	16
53	Hardcore	16
37	Hardcore	16
63	Hardcore	16
39	Hardcore	16
44	Hardcore	16
252	Hardcore	16
33	Hardcore	16
192	Hardcore	16
41	Hardcore	17
1275	Hardcore	17
44	Hardcore	17
34	Hardcore	17
35	Hardcore	17
44	Hardcore	17
43	Hardcore	17
40	Hardcore	17
39	Hardcore	17
